Current time: | Mon Mar 19 14:52:06 EDT 2018
Time stamp: | 1521485526
Excel time format: | 19/03/18 02:52:06 PM
P_12V            | 12.16 Volts       | ok
P_5V             | 5.04 Volts        | ok
P_3V3            | 3.29 Volts        | ok
P_5V_STBY        | 5.01 Volts        | ok
P_1V05_PCH       | 1.04 Volts        | ok
P_VBAT           | 2.61 Volts        | nc
P_VCCIN_CPU0     | 1.76 Volts        | ok
P_VCCIN_CPU1     | 1.75 Volts        | ok
P_VDDQ_CPU0_ABC  | 1.23 Volts        | ok
P_VDDQ_CPU0_DEF  | 1.23 Volts        | ok
P_VDDQ_CPU1_ABC  | 1.22 Volts        | ok
P_VDDQ_CPU1_DEF  | 1.23 Volts        | ok
P_VNN_PCH_AUX    | 0.99 Volts        | ok
P_1V8_AUX_PCH    | 1.80 Volts        | ok
P_1V0_AUX_LAN    | 1.02 Volts        | ok
PS1_Status       | 0x00              | ok
PS2_Status       | 0x00              | ok
CPU0_TEMP        | 59 degrees C      | ok
CPU0_DTS         | 42 degrees C      | ok
CPU1_TEMP        | 56 degrees C      | ok
CPU1_DTS         | 45 degrees C      | ok
DIMMG0_TEMP      | 42 degrees C      | ok
DIMMG1_TEMP      | 41 degrees C      | ok
DIMMG2_TEMP      | 39 degrees C      | ok
DIMMG3_TEMP      | 41 degrees C      | ok
PCH_TEMP         | 49 degrees C      | ok
MB_TEMP1         | 43 degrees C      | ok
MB_TEMP2         | 49 degrees C      | ok
VR_P0_TEMP       | 37 degrees C      | ok
VR_P0_VIN        | 12 Volts          | ok
VR_P0_VOUT       | 1.79 Volts        | ok
VR_P0_IOUT       | 49 Amps           | ok
VR_P1_TEMP       | 37 degrees C      | ok
VR_P1_VIN        | 12.12 Volts       | ok
VR_P1_VOUT       | 1.81 Volts        | ok
VR_P1_IOUT       | 44 Amps           | ok
VR_DIMMG0_TEMP   | 32 degrees C      | ok
VR_DIMMG0_VIN    | 12.12 Volts       | ok
